train_number,line_direction_cid,direction_chinese,station_id,station_name,car_number_cn1,car_number_cn2,car1_congestion,car2_congestion,car3_congestion,car4_congestion,update_time,timestamp
"133,166",2,上行,BR23,南港軟體園區,133,166,1,1,1,1,2025-07-14 22:11:47,2025-07-14 22:11:47
"113,104",1,下行,BR16,西湖,113,104,1,1,1,1,2025-07-14 22:11:44,2025-07-14 22:11:44
"127,120",1,下行,BR06,麟光,127,120,1,1,1,1,2025-07-14 22:11:09,2025-07-14 22:11:09
"191,126",2,上行,BR14,大直,191,126,2,1,2,3,2025-07-14 22:11:02,2025-07-14 22:11:02
"101,114",1,下行,BR09,BR 大安,101,114,2,3,2,2,2025-07-14 22:10:58,2025-07-14 22:10:58
"157,112",1,下行,BR12,中山國中,157,112,1,1,1,2,2025-07-14 22:10:52,2025-07-14 22:10:52
"129,198",1,下行,BR14,大直,129,198,2,2,1,1,2025-07-14 22:10:48,2025-07-14 22:10:48
"199,128",1,下行,BR20,大湖公園,199,128,1,1,1,1,2025-07-14 22:10:38,2025-07-14 22:10:38
"111,142",2,上行,BR01,動物園,111,142,1,1,1,1,2025-07-14 22:10:32,2025-07-14 22:10:32
"113,104",1,下行,BR17,港漧,113,104,1,1,1,1,2025-07-14 22:10:15,2025-07-14 22:10:15
"137,200",2,上行,BR18,文德,137,200,2,1,1,1,2025-07-14 22:09:50,2025-07-14 22:09:50
"127,120",1,下行,BR07,六張犁,127,120,2,1,1,1,2025-07-14 22:09:34,2025-07-14 22:09:34
